Address;City;Company;Name Full;Phone;Plus4;State;Zip;MD_PlaceCode;MD_LocationType;MD_MelissaAddressKeyBase;MD_Plus4;MD_MelissaAddressKey;MD_TotalSalesEstimate;MD_Phone;MD_NAICSCode1;MD_SICDescription1;MD_CountyName;MD_WebAddress;MD_CensusBlock;MD_Suite;MD_NAICSDescription1;MD_DeliveryIndicator;MD_CensusTract;MD_SICDescription2;MD_SICDescription3;MD_Latitude;MD_StockTicker;MD_PostalCode;MD_SICCode2;MD_SICCode1;MD_SICCode3;MD_PlaceName;MD_Longitude;MD_NAICSDescription3;MD_CountyFIPS;MD_NAICSDescription2;MD_State;MD_AddressLine1;MD_TotalEmployeesEstimate;MD_CompanyName;MD_City;MD_NAICSCode3;MD_NAICSCode2;MD_Results
1619 Grant Ave # 4           ;Philadelphia   ;Pennsylvania Open MRI         ;;2156770830;3161;PA;19115;60000                                             ;1                                                 ;5494040633                                        ;3161                                              ;1328961441                                        ;1793000                                           ;2156770830                                        ;62151207                                          ;DIAGNOSTIC IMAGING CENTERS                        ;Philadelphia                                      ;www.tristateopenmri.com                           ;3005                                              ;Ste 4                                             ;DIAGNOSTIC IMAGING CENTERS                        ;                                                  ;035500                                            ;LABORATORIES-MEDICAL                              ;X-RAY LABORATORIES MEDICAL & DENTAL               ;40.086882                                         ;                                                  ;19115     ;807101                                            ;807129                                            ;807103                                            ;Philadelphia                                      ;-75.039953                                        ;DIAGNOSTIC IMAGING CENTERS                        ;42101                                             ;MEDICAL LABORATORIES                              ;PA                                                ;1619 Grant Ave                                    ;10                                                ;Pennsylvania Open MRI                             ;Philadelphia                                      ;62151201                                          ;62151106                                          ;AS01,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11      
612 Valley Rd                ;Blue Bell      ;Discovery Toys                ;Ober Helen            ;2156460296;2051;PA;19422;07224                                             ;1                                                 ;                                                  ;2051                                              ;4709650206                                        ;140000                                            ;2156460296                                        ;45112035                                          ;TOYS-RETAIL                                       ;Montgomery                                        ;www.discoverytoys.net                             ;3011                                              ;                                                  ;HOBBY, TOY & GAME STORES                          ;                                                  ;203207                                            ;                                                  ;                                                  ;40.14863                                          ;                                                  ;19422     ;                                                  ;594517                                            ;                                                  ;Blue Bell                                         ;-75.27414                                         ;                                                  ;42091                                             ;                                                  ;PA                                                ;612 Valley Rd                                     ;1                                                 ;Discovery Toys                                    ;Blue Bell                                         ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS12      
84th & Lyons                 ;Philadelphia   ;Pepper School Playground      ;;2156854195;;PA;19153;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19153     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;84th & Lyons                                      ;                                                  ;Pepper School Playground                          ;Philadelphia                                      ;                                                  ;                                                  ;AE02,FE01                                         
1 Branson Landing Blvd       ;Branson        ;Atm                           ;;4170001111;;MO;65616;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65616     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;1 Branson Landing Blvd                            ;                                                  ;ATM                                               ;Branson                                           ;                                                  ;                                                  ;AE10,FE01                                         
10069 Sandmeyer Ln           ;Philadelphia   ;Stein's Generator & Starter   ;Herman Scott          ;2159696900;3592;PA;19116;60000                                             ;3                                                 ;                                                  ;3501                                              ;9636478633                                        ;986000                                            ;2159696900                                        ;81112102                                          ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;Philadelphia                                      ;                                                  ;1000                                              ;                                                  ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;                                                  ;035702                                            ;FEDERAL GOVERNMENT CONTRACTORS                    ;AUTOMOTIVE REPAIR SHOPS NEC                       ;40.11403                                          ;                                                  ;19116     ;999966                                            ;753201                                            ;7539                                              ;Philadelphia                                      ;-75.03423                                         ;                                                  ;42101                                             ;UNCLASSIFIED ESTABLISHMENTS                       ;PA                                                ;10069 Sandmeyer Ln                                ;7                                                 ;Steins Generator & Starter Svc.                   ;Philadelphia                                      ;                                                  ;99999005                                          ;AS01,FS01,FS04,FS05,GS05,PS01,PS08,PS12           
9951 Bustleton Ave           ;Philadelphia   ;Recklau Salon                 ;;2676863752;;PA;19115;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19115     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;9951 Bustleton Ave                                ;                                                  ;Recklau Salon                                     ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
2508 E Cumberland St         ;Philadelphia   ;United Check Cashing          ;Patel K               ;2152712776;3107;PA;19125;60000                                             ;1                                                 ;                                                  ;3107                                              ;4408890287                                        ;                                                  ;2152712776                                        ;52229111                                          ;PAYDAY LOANS                                      ;Philadelphia                                      ;                                                  ;3023                                              ;                                                  ;CONSUMER LENDING                                  ;                                                  ;016000                                            ;CHECK CASHING SERVICE                             ;                                                  ;39.97829                                          ;                                                  ;19125     ;609903                                            ;614113                                            ;                                                  ;Philadelphia                                      ;-75.12167                                         ;                                                  ;42101                                             ;FINANCIAL TRNSCTNS PROCNG, RESERVE/CLRNGHS ACTVTS ;PA                                                ;2508 E Cumberland St                              ;2                                                 ;United Check Cashing                              ;Philadelphia                                      ;                                                  ;52232003                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
Lansdale Avenue              ;Lansdale       ;Younger & Sons                ;;2153622828;;PA;19446;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19446     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;Lansdale Avenue                                   ;                                                  ;Younger & Sons                                    ;Lansdale                                          ;                                                  ;                                                  ;AE11,FE01                                         
3500 N Gretna Rd             ;Branson        ;Quilts & Quilts               ;Colbert Lacey         ;4173343243;7358;MO;65616;07966                                             ;3                                                 ;                                                  ;7358                                              ;6918966126                                        ;192000                                            ;4173343243                                        ;33299921                                          ;PATTERNS-CLOTHING DRESS & ETC (MFRS)              ;Taney                                             ;                                                  ;1093                                              ;                                                  ;ALL OTHER MISC FABRICATED METAL PRODUCT MFG       ;                                                  ;480201                                            ;FABRICS-WHOLESALE                                 ;QUILTING                                          ;36.658647                                         ;                                                  ;65616     ;513119                                            ;354305                                            ;571404                                            ;Branson                                           ;-93.259119                                        ;SEWING, NEEDLEWORK & PIECE GOODS STORES           ;29213                                             ;TEXTILE & FABRIC FINISHING MILLS                  ;MO                                                ;3500 N Gretna Rd                                  ;13                                                ;Quilts & Quilts                                   ;Branson                                           ;45113017                                          ;31331020                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
4325 Springfield Ave         ;Philadelphia   ;St Francis De Sales Church    ;Bier Louis C          ;2152225819;;PA;19143;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19143     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;4325 Springfield Ave                              ;                                                  ;St. Francis DE Sales Church                       ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
288 Oakridge Dr              ;Branson        ;Thousand Hills Altic          ;;4173375118;;MO;65616;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65616     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;288 Oakridge Dr                                   ;                                                  ;Thousand Hills Altic                              ;Branson                                           ;                                                  ;                                                  ;AE10,FE01                                         
906 E Main St                ;Norristown     ;New Concept Inc               ;Razavian Abdalhamid   ;6103131866;4106;PA;19401;54656                                             ;3                                                 ;                                                  ;4106                                              ;9353888881                                        ;1176000                                           ;6103131866                                        ;81111104                                          ;AUTOMOBILE REPAIRING & SERVICE                    ;Montgomery                                        ;www.newconceptcars.com                            ;2019                                              ;                                                  ;GENERAL AUTOMOTIVE REPAIR                         ;                                                  ;203902                                            ;AUTOMOBILE REPAIR/SVC-EQUIP & SUPLS-MFRS          ;AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)           ;40.10854                                          ;                                                  ;19401     ;371404                                            ;753801                                            ;501314                                            ;Norristown                                        ;-75.32764                                         ;MOTOR VEHICLE SUPPLIES & NEW PARTS MERCHANT WHLSRS;42091                                             ;OTHER MOTOR VEHICLE PARTS MANUFACTURING           ;PA                                                ;906 E Main St                                     ;8                                                 ;New Concept Inc.                                  ;Norristown                                        ;42312068                                          ;33639004                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
257 Bethel Rd                ;Oxford         ;Huf Landscaping               ;Huf Mark              ;6109323426;1164;PA;19363;                                                  ;3                                                 ;                                                  ;1164                                              ;5121461329                                        ;626000                                            ;6109323426                                        ;44422011                                          ;MULCHES                                           ;Chester                                           ;www.sites.google.com                              ;2070                                              ;                                                  ;NURSERY, GARDEN CENTER & FARM SUPPLY STORES       ;                                                  ;307900                                            ;FLOWERS NURSERY STOCK & FLORISTS SUPLS            ;                                                  ;39.79171                                          ;                                                  ;19363     ;5193                                              ;526134                                            ;                                                  ;                                                  ;-76.01523                                         ;                                                  ;42029                                             ;                                                  ;PA                                                ;257 Bethel Rd                                     ;3                                                 ;Huf Landscaping                                   ;Oxford                                            ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
